PersonID,Name,Birthdate,Last 4 SSN,Total Sales,Gender,Largest Purchase,Favorite Book ID
54,"Lebsack, Marshall P",4/2/1958,2781,483.51,Female,667.17,98
55,"Powlowski, Kaia L",1/16/1958,1037,722.85,Male,273.92,60
56,"Dare, Albin W",11/10/1996,2560,692.98,Male,599.26,98
57,"Ledner, Lamont R",7/7/1959,0937,434.46,Male,336.62,76
58,"Leannon, Austin C",12/9/1954,7812,135.07,Male,236.64,79
59,"Wolff, Darryl Y",4/27/1996,3862,951.00,Male,405.90,74
60,"West, Mireya J",2/8/1961,3439,45.86,Female,350.80,80
61,"Quitzon, Mellie X",6/5/1961,8920,736.35,Female,779.06,32
62,"McLaughlin, Angel K",12/11/1971,3419,899.16,Female,24.33,86
63,"Brakus, Bernadette S",7/3/1996,7040,193.85,Female,821.22,4
64,"Graham, Magdalen N",4/6/1970,1356,335.37,Male,695.66,18
65,"Moen, Rosie U",1/7/1960,4065,205.38,Male,740.88,19
66,"Waelchi, Rosalyn P",1/5/1994,2501,947.71,Male,226.02,5
67,"Toy, Kaylin A",9/24/1956,3125,345.86,Female,519.69,51
68,"Bosco, Elmo U",10/21/1962,9122,319.33,Male,477.97,55
69,"Will, Mattie Z",9/12/1954,1355,171.42,Male,128.69,83
70,"Lebsack, Chloe Z",10/17/1966,1151,84.70,Male,91.62,44
71,"Simonis, Tracy I",12/17/1988,3348,668.43,Female,483.56,76
72,"Wunsch, Marjorie Z",2/27/1986,1746,213.06,Male,917.71,25
73,"Ratke, Kameron I",7/31/1980,8559,251.58,Male,865.14,95
74,"Greenholt, Cheyenne G",7/19/1981,1453,879.11,Female,767.71,49
75,"Mraz, Flavio N",8/20/1990,1424,912.04,Female,598.51,45
76,"Kiehn, Kimberly O",8/24/1960,0299,220.50,Male,619.34,12
77,"Ernser, Gwendolyn L",5/1/1975,8872,994.89,Female,376.88,80
78,"Hyatt, Joannie J",6/5/1988,6278,897.37,Male,517.45,76
79,"Barrows, Morgan A",8/8/1969,3722,75.55,Male,429.09,3
80,"Welch, Raoul W",2/18/1984,5071,261.87,Male,123.41,42
81,"Huel, Luella A",5/22/1997,0396,876.64,Female,772.69,70
82,"Pollich, Lavinia L",10/1/1955,7259,953.05,Male,29.75,18
83,"Maggio, Norberto Y",8/9/1971,8208,998.62,Male,928.71,55
84,"Runolfsdottir, Alec A",3/24/1974,1596,165.78,Female,702.58,50
85,"Fritsch, Caleigh F",3/5/1975,7498,23.03,Female,306.39,89
86,"Miller, Neoma J",8/9/1970,2837,150.19,Female,521.16,41
87,"Collier, Elmore K",3/8/1964,0679,913.60,Female,23.53,49
88,"Ziemann, Cary W",12/26/1989,7572,341.41,Male,269.26,3
89,"Douglas, Jerald W",12/31/1980,2802,275.89,Male,635.28,53
90,"Powlowski, Diego L",5/18/1982,1694,301.37,Female,744.25,97
91,"Blick, Zoie I",5/17/1975,5452,85.71,Male,275.24,22
92,"Schuster, Lulu K",7/23/1985,9946,598.27,Female,654.82,94
93,"Walsh, Lewis M",12/26/1970,7640,651.58,Male,696.36,2
94,"Koch, Halie N",5/15/1955,6054,849.38,Male,828.30,91
95,"Stracke, Giles I",6/21/1991,6064,836.26,Male,288.77,11
96,"Boyer, Baylee M",8/31/1993,9865,254.32,Male,483.21,30
97,"Vandervort, Eleanora S",7/16/1955,2641,566.30,Female,500.73,25
98,"Hammes, Andre B",1/29/1953,9054,319.85,Female,955.31,18
99,"Barrows, Gussie M",9/9/1984,5175,164.50,Female,983.78,73
100,"Donnelly, Lillie Y",6/14/1956,4687,854.20,Female,196.67,1
101,"Reinger, Leonel M",10/5/1966,4686,455.15,Female,857.82,77
102,"Reichel, Viva Y",10/30/1962,3903,233.87,Male,246.07,22
103,"McGlynn, Tobin C",1/28/1951,4615,831.50,Female,72.21,5
104,"Torphy, Justen H",5/5/1970,2108,387.13,Female,255.11,55
105,"Feil, Jacinto P",5/19/1988,4876,251.07,Female,63.49,21
106,"Quitzon, D'angelo L",3/17/1956,7713,237.40,Female,470.04,98
107,"Bogan, Ward M",9/14/1954,0593,75.59,Female,284.22,5
108,"Kertzmann, Coralie D",10/23/1972,2894,300.89,Female,332.30,48
109,"Rosenbaum, Vilma R",1/24/1973,6596,915.84,Female,784.20,16
110,"Emmerich, Rollin L",5/21/1991,3291,973.78,Female,667.15,59
111,"Bartoletti, Lucy V",12/23/1984,6543,427.69,Female,931.78,32
112,"Kertzmann, Gisselle E",8/5/1975,5687,536.37,Female,222.55,93
113,"Dooley, Kevon O",4/27/1994,5043,33.51,Female,26.62,1
114,"Bechtelar, Andrew X",10/13/1956,0588,254.99,Male,832.42,10
115,"Howell, Quincy G",9/22/1987,1602,248.27,Female,474.77,38
116,"West, Gage A",1/14/1984,4233,523.92,Female,340.33,10
117,"Hahn, Annetta Q",3/25/1954,3741,335.35,Male,195.78,17
118,"Lehner, Benjamin E",12/27/1973,4144,49.12,Female,873.48,32
119,"Monahan, Kamille U",1/6/1997,7080,164.32,Male,359.01,6
120,"Armstrong, Braden J",10/2/1955,5584,689.51,Female,863.48,34
121,"Barton, Savion N",1/30/1988,8917,212.16,Male,73.13,51
122,"Bednar, Marcel P",10/4/1958,8060,689.55,Male,66.86,46
123,"Cronin, Jammie I",9/5/1961,3490,467.71,Male,728.64,41
124,"Haag, Devan D",11/29/1966,3182,595.55,Male,732.54,88
125,"Paucek, Selena C",7/20/1977,0937,345.81,Female,799.87,40
126,"Brown, Tyrese H",1/8/1960,0362,378.64,Female,47.69,18
127,"Harris, Kelli P",10/11/1985,3741,753.26,Male,893.94,97
128,"Hessel, Brionna K",1/19/1982,4445,150.80,Male,994.12,15
129,"Breitenberg, Gretchen Y",8/16/1982,4065,113.72,Male,623.10,9
130,"Jones, Nina Y",12/2/1958,0661,990.88,Female,608.18,27
131,"Sawayn, Broderick G",11/30/1997,5244,760.86,Female,940.69,64
132,"Ryan, Emilia X",10/14/1994,0456,829.52,Female,803.16,43
133,"O'Reilly, Cleo L",5/17/1974,8816,28.72,Male,482.95,64
134,"Rath, Dylan V",3/23/1965,3625,961.71,Female,61.26,22
135,"Raynor, Keaton W",6/10/1965,7362,35.37,Female,21.13,18
136,"O'Hara, Beth R",10/28/1957,8005,245.85,Male,4.73,65
137,"Osinski, Monica D",3/20/1960,9453,581.49,Male,858.15,30
138,"Terry, Naomie C",8/24/1991,7745,696.16,Female,889.62,24
139,"Fahey, Lance S",11/7/1984,3161,13.61,Male,229.72,27
140,"Abshire, Dahlia A",11/5/1993,4012,333.68,Male,416.12,95
141,"Kuhn, Nathanial K",4/18/1999,0188,533.42,Female,936.66,97
142,"Gutkowski, Melba E",12/21/1964,2146,322.96,Male,469.81,81
143,"Schmeler, Chandler M",10/26/1962,6376,948.40,Male,574.26,30
144,"Purdy, Jamie M",10/31/1963,0418,370.14,Male,418.79,99
145,"Keebler, Sonia W",1/9/1968,7769,967.10,Male,55.60,94
146,"Osinski, Lynn Z",4/7/1973,8270,160.82,Male,185.79,32
147,"Kihn, Edna Q",1/8/1968,9447,10.62,Male,384.09,6
148,"Parisian, Carmella M",5/2/1972,1516,606.45,Female,686.72,36
149,"Quitzon, Lorine B",11/12/1988,4721,558.50,Male,451.75,53
150,"Yost, Ashtyn P",4/25/1956,2333,254.53,Female,385.17,75
151,"VonRueden, Eli O",8/28/1989,3853,131.67,Male,550.70,49
152,"Jacobi, Mitchell P",8/2/1992,7513,353.68,Male,849.56,38
153,"Cartwright, Dorian E",2/26/1961,0788,369.26,Female,964.08,14
154,"Moen, Yolanda S",5/6/1957,5314,794.66,Female,214.08,53
155,"Block, Deron K",4/28/1952,8974,619.27,Male,642.72,49
156,"Monahan, Lauretta F",6/21/1953,4104,155.95,Female,990.43,92
157,"Hickle, Nya P",5/26/1998,4933,141.75,Female,816.74,67
158,"Frami, Ernest Z",9/16/1962,0414,79.15,Female,897.86,54
159,"Heidenreich, Robert I",3/13/1957,4213,178.70,Male,563.62,65
160,"Marquardt, Annamae Z",1/15/1982,4667,796.77,Female,667.93,82
161,"Zemlak, Alexandrea F",3/2/1998,4155,372.03,Female,973.81,17
162,"Prohaska, Destany M",11/5/1962,6459,312.41,Female,771.75,60
163,"Kunde, Tyreek P",11/26/1997,1700,694.99,Female,619.79,71
164,"Walter, Lon T",10/3/1968,9276,433.01,Male,554.72,0
165,"Balistreri, Oscar X",5/28/1952,7768,85.99,Male,84.11,66
166,"D'Amore, Abbigail D",11/27/1987,4057,461.59,Female,26.79,83
167,"Leannon, Delta M",10/20/1955,3378,53.83,Female,21.87,26
168,"Volkman, Lillie O",3/31/1992,3857,696.24,Female,850.63,92
169,"Cruickshank, Immanuel M",7/26/1968,0069,58.51,Female,781.03,23
170,"Stehr, Taylor C",1/27/1957,7726,851.35,Female,321.78,49
171,"Bradtke, Maverick I",10/28/1980,8383,517.65,Female,65.62,72
172,"Reynolds, Monica U",3/24/1988,9808,906.20,Female,442.53,46
173,"Lubowitz, Percy D",10/7/1991,0839,815.03,Female,333.80,53
174,"Grant, Berniece C",12/3/1981,5515,984.17,Male,285.90,35
175,"Mraz, Joelle W",1/25/1959,2520,555.66,Female,631.49,96
176,"Powlowski, Justine W",5/19/1973,3457,576.27,Male,84.41,55
177,"Hessel, Kyle L",1/2/1994,5328,607.93,Female,614.57,83
178,"McLaughlin, Lon R",9/13/1966,8455,555.29,Female,922.90,65
179,"Russel, Oswaldo J",3/31/1990,3215,809.12,Female,993.70,16
180,"Ratke, Ralph H",1/3/1956,7495,717.49,Male,724.17,9
181,"Metz, Naomie T",1/9/1963,4589,428.10,Female,697.71,11
182,"Klein, Enoch J",6/3/1988,8810,243.78,Male,779.45,33
183,"Kovacek, Abbie T",3/4/1981,4763,387.09,Male,497.07,2
184,"Konopelski, Gennaro Y",2/23/1960,3047,999.85,Female,303.09,64
185,"Smith, Freeda W",11/2/1956,8991,510.76,Female,896.71,21
186,"Nikolaus, Lonie B",10/13/1996,8956,75.29,Female,339.79,13
187,"Greenholt, Lisette L",8/3/1986,4416,39.52,Male,331.96,69
188,"Pfeffer, Mackenzie W",6/20/1977,3010,452.95,Female,127.61,98
189,"Champlin, Martina E",11/30/1976,3517,362.48,Female,560.80,56
190,"Paucek, Cindy R",1/4/1979,8102,305.99,Male,674.25,33
191,"Swift, Cristobal H",7/15/1973,6239,884.03,Male,501.34,6
192,"Roob, Deontae N",1/8/1989,0735,68.85,Male,928.21,46
193,"Stanton, Clyde H",3/10/1977,0727,915.97,Male,361.93,17
194,"Jast, Antone N",2/20/1982,4069,236.24,Male,870.24,12
195,"Schultz, Clovis T",12/28/1970,3010,993.32,Female,692.02,35
196,"Treutel, Claudine G",8/27/1968,0757,783.73,Female,41.97,90
197,"Hickle, Camila X",1/24/1967,2957,793.99,Male,564.60,97
198,"Christiansen, America H",1/9/1958,8531,737.06,Female,687.39,5
199,"Murray, Jessica F",10/14/1991,2961,893.95,Female,409.23,97
200,"O'Connell, Mario O",12/17/1982,6346,827.08,Female,804.82,31
201,"Reichert, Kelley J",5/15/1975,1081,823.18,Female,680.57,18
202,"Witting, Otha R",1/12/1998,4315,970.41,Female,600.57,67
203,"Wiza, Arvilla X",4/19/1988,1041,779.45,Female,68.20,44
204,"Schaefer, Nellie L",7/3/1952,5452,843.66,Female,511.01,9
205,"Wolf, Jedidiah U",12/13/1994,3153,483.67,Female,696.17,21
206,"MacGyver, Mariana O",11/2/1971,8021,218.64,Male,276.38,43
207,"Veum, Stefan A",2/2/1970,5082,845.05,Female,376.20,56
208,"Borer, Dax G",7/20/1966,0108,913.20,Male,666.11,68
209,"Collier, Amelia X",4/25/1954,6003,657.26,Female,720.04,1
210,"Feil, Emerson O",5/16/1970,1562,445.07,Male,825.06,19
211,"Rowe, Darryl Q",10/10/1998,7549,64.65,Male,790.08,23
212,"Cremin, Randal I",9/24/1969,6112,136.71,Female,667.17,33
213,"Huels, Josefa K",10/30/1981,1197,636.22,Female,437.92,36
214,"Bode, Carolyne G",8/29/1996,8449,849.79,Male,682.05,82
215,"Lubowitz, Mavis S",1/7/1951,8013,832.68,Female,489.47,77
216,"Gulgowski, Christina V",1/5/1964,2579,255.67,Female,962.97,75
217,"West, Fae V",2/6/1956,8560,108.46,Male,809.47,18
218,"Moore, Leda I",5/11/1964,0624,661.34,Male,904.86,3
219,"Hilll, Tad T",9/16/1966,4370,825.10,Female,228.40,20
220,"Casper, Percy D",4/30/1988,7474,884.91,Female,213.50,24
221,"Kirlin, Chanel J",11/12/1997,9861,32.30,Male,918.69,26
222,"Kunze, Kristina P",12/23/1994,1307,130.54,Female,672.09,36
223,"Gislason, Heidi J",10/21/1997,0892,586.96,Female,809.57,78
224,"O'Hara, Hal G",3/17/1952,2256,354.97,Female,136.03,29
225,"Grimes, Bertrand O",10/3/1956,5813,279.06,Male,725.75,44
226,"Paucek, Ida Y",12/26/1988,8257,421.43,Male,827.92,42
227,"Breitenberg, Coby M",12/11/1981,7211,793.63,Female,362.08,36
228,"Carroll, Jose V",12/7/1975,1674,182.76,Male,754.02,15
229,"Stark, Lydia C",11/6/1992,3405,30.52,Male,839.47,70
230,"Gorczany, Lourdes G",10/8/1998,1799,41.75,Male,833.81,82
231,"Jerde, Chance M",9/14/1978,3142,750.67,Female,836.51,34
232,"Gusikowski, Rigoberto H",11/3/1972,4356,295.11,Female,14.75,56
233,"Bailey, Jordane H",8/6/1959,8269,658.24,Female,274.09,55
234,"Schaden, Ludwig F",3/24/1999,3049,531.43,Male,22.58,79
235,"Von, Stacey D",1/29/1998,7689,480.27,Male,871.11,47
236,"McGlynn, Jared J",2/12/1983,0951,359.71,Male,894.80,45
237,"Hettinger, Deondre R",12/2/1983,0414,494.39,Female,22.87,7
238,"Johnson, Lila Z",3/26/1959,8935,870.01,Male,513.27,78
239,"O'Conner, Miller Q",8/11/1975,6594,775.27,Male,604.71,27
240,"Koch, Andreanne Y",12/1/1950,6896,689.84,Female,595.57,60
241,"Windler, Daphney S",7/5/1998,5214,304.96,Male,56.86,2
242,"Hyatt, Rosanna E",11/2/1989,4151,524.85,Female,596.38,33
243,"Yost, Ryleigh F",12/1/1969,4673,430.84,Female,47.19,36
244,"Ullrich, Carmela Z",12/5/1966,8492,463.91,Male,584.99,10
245,"Batz, Efren R",8/29/1990,3249,773.96,Female,434.94,40
246,"Boehm, Arthur G",6/15/1968,0782,614.06,Male,632.35,28
247,"Hodkiewicz, Lexie N",6/20/1985,2291,32.34,Male,715.39,81
248,"Bogan, Loraine V",2/26/1957,0765,84.77,Female,423.49,89
249,"Kutch, Greta K",8/22/1997,6544,687.66,Male,539.02,2
250,"McLaughlin, Claire U",6/23/1950,7653,739.31,Male,413.89,51
251,"Ledner, Marcelina P",2/16/1974,0615,625.63,Female,172.74,56
252,"Paucek, Marlene G",6/23/1973,8539,852.79,Female,114.29,92
253,"Hayes, Aletha C",2/16/1980,1092,933.04,Male,743.19,18
254,"Weissnat, Aurelie F",2/23/1955,9237,607.00,Female,134.08,34
255,"Yost, Kaley C",8/11/1952,2332,998.34,Male,630.20,81
256,"Ondricka, Friedrich A",7/12/1998,0586,514.13,Female,733.37,61
257,"Gaylord, Laila M",4/18/1952,8332,797.30,Female,200.89,20
258,"Bechtelar, Nolan L",6/22/1966,6370,256.46,Female,539.04,55
259,"Abbott, Claudie S",8/20/1982,1160,596.45,Male,928.65,54
260,"Swift, Alison P",9/30/1951,8325,106.28,Female,495.08,86
261,"Cartwright, Eunice Z",6/26/1993,7615,966.08,Male,742.90,28
262,"Larson, Lonnie A",1/13/1971,2432,66.15,Female,860.00,46
263,"Stroman, Zola Y",3/28/1972,6675,153.35,Female,342.91,64
264,"McCullough, Adriel G",5/5/1986,5516,110.21,Female,659.71,73
265,"Friesen, Candido M",10/17/1988,4410,644.66,Male,757.84,44
266,"Kuhn, Lola B",3/9/1954,6001,118.45,Female,921.06,97
267,"Fritsch, Valentin J",2/5/1980,3164,746.81,Male,941.52,6
268,"Spinka, Milo G",5/6/1982,3136,562.16,Female,615.97,60
269,"Vandervort, Elenor F",11/18/1993,2271,957.29,Female,301.18,67
270,"Stokes, Alvina Y",4/16/1998,7978,98.24,Male,648.87,3
271,"Reynolds, Vanessa R",7/9/1959,4795,850.88,Male,962.21,24
272,"Schowalter, Casandra D",8/23/1963,8518,336.92,Male,582.23,79
273,"Emmerich, Scot F",5/9/1967,3095,305.59,Female,769.75,46
274,"Koss, Sven E",1/2/1967,9058,86.94,Male,666.51,66
275,"Fahey, Dejon C",9/13/1973,7129,25.12,Female,394.76,64
276,"Windler, Fritz L",5/25/1988,2730,500.47,Female,800.40,74
277,"Wyman, Marlon Z",11/3/1977,3053,30.63,Male,64.60,32
278,"Fisher, Ariane U",4/13/1950,9303,570.10,Female,291.86,82
279,"Jacobs, Michale X",8/21/1957,0009,313.75,Male,998.39,51
280,"Crist, Avery P",12/20/1950,0001,721.91,Female,729.84,92
281,"Walter, Jenifer L",12/8/1996,2557,109.59,Female,861.83,25
282,"Boyer, Griffin E",8/23/1973,6491,32.66,Female,386.61,37
283,"Oberbrunner, Cali R",1/15/1968,4829,499.16,Male,135.77,86
284,"Skiles, Antonetta T",7/14/1978,1736,901.80,Male,188.69,5
285,"Luettgen, Steve J",3/18/1959,6763,249.92,Male,804.26,62
286,"Stroman, Amos G",3/9/1951,6169,720.77,Male,318.39,5
287,"Douglas, Adolf G",3/20/1977,4965,121.89,Male,955.20,11
288,"Macejkovic, Dawn C",6/14/1987,2680,241.52,Male,809.76,58
289,"Osinski, Maritza L",3/3/1991,2749,647.97,Male,220.89,49
290,"O'Hara, Camila C",12/9/1950,9713,457.17,Female,309.35,32
291,"Keebler, Anthony J",8/31/1966,8704,370.78,Male,445.59,64
292,"Heller, Jewell H",1/4/1972,6658,878.37,Male,716.19,2
293,"Hermann, Aryanna C",4/15/1965,8491,932.63,Male,557.11,52
294,"Hansen, Felipa P",9/22/1951,2936,406.43,Male,919.88,50
295,"Quitzon, Garett T",2/8/1996,4199,484.95,Female,996.35,1
296,"Johnston, Viva G",6/16/1958,6927,696.22,Female,655.92,91
297,"Adams, Marlee D",1/14/1983,6386,850.89,Male,217.00,55
298,"Homenick, Kiarra R",1/4/1988,5967,592.10,Male,947.31,61
299,"McCullough, Naomie T",12/31/1994,2947,592.30,Male,917.00,71
300,"Sanford, Destiny J",4/27/1986,6830,978.16,Female,864.83,74
301,"Kris, Lupe A",1/20/1967,1909,97.33,Female,813.28,31
302,"Ernser, Joan Z",7/12/1951,9176,472.19,Female,440.37,70
303,"Moen, Albert Q",5/22/1993,1131,938.91,Female,342.46,29
304,"Little, Helene X",12/2/1998,7140,943.77,Female,720.85,54
305,"Legros, Marilyne O",9/9/1951,4173,34.09,Male,427.34,34
306,"Nolan, Efren M",1/15/1971,7880,305.93,Male,208.89,96
307,"Jakubowski, Noe G",11/1/1967,3267,92.84,Male,415.93,50
308,"Bahringer, Nakia C",7/30/1995,3724,497.41,Female,726.16,57
309,"Runolfsdottir, Garrison Q",1/21/1952,7424,183.40,Male,205.06,26
310,"Gleason, Yadira C",9/12/1960,9714,9.05,Male,304.40,58
311,"Schumm, Valerie W",7/10/1973,4764,290.88,Female,443.79,74
312,"Koch, Vicenta H",7/20/1976,7265,164.89,Female,983.47,82
313,"O'Keefe, Eleazar B",9/29/1963,5613,839.13,Female,937.20,88
314,"Frami, Kirsten F",7/19/1976,4009,547.07,Female,431.44,10
315,"Schaefer, Domenico H",12/23/1959,1843,414.46,Male,109.45,30
316,"Hahn, Carrie S",5/28/1970,2256,1.82,Male,752.26,32
317,"Block, Erna F",1/3/1990,6842,42.84,Male,955.29,61
318,"Flatley, Herbert D",10/9/1974,2198,417.44,Female,409.20,20
319,"Maggio, Dion U",5/16/1994,1127,986.77,Female,60.64,51
320,"Leffler, Krystel I",8/19/1953,3229,870.07,Male,483.04,45
321,"Ratke, Junius M",9/5/1984,7260,777.85,Male,268.37,88
322,"Gorczany, Mazie L",2/4/1987,7234,536.61,Female,598.99,17
323,"Farrell, Myrtle C",9/25/1994,1434,709.95,Female,399.60,72
324,"Runolfsdottir, Waldo T",4/20/1970,0705,713.02,Female,94.69,85
325,"Crona, Karlie D",1/26/1952,7371,6.69,Female,687.14,24
326,"Medhurst, Gia Q",4/3/1988,7439,762.15,Female,739.92,41
327,"Olson, Eldridge F",10/23/1958,5996,337.92,Male,479.60,97
328,"Graham, Maddison J",11/27/1950,1661,615.32,Male,573.63,50
329,"Walter, Pinkie G",5/8/1991,6153,735.64,Female,658.68,44
330,"Block, Margarett J",7/22/1965,7921,72.58,Male,214.07,47
331,"O'Keefe, Wellington W",11/6/1977,7142,115.11,Male,258.48,50
332,"McGlynn, Cristal U",3/1/1971,3559,108.16,Male,551.21,10
333,"Durgan, Loyce J",5/21/1959,4745,416.07,Female,787.80,59
334,"Waters, Berenice Q",2/8/1969,1635,622.23,Male,618.53,76
335,"Koelpin, Grayson U",12/24/1974,0556,34.08,Male,822.76,13
336,"Hagenes, Mathew D",6/21/1967,2969,487.35,Female,217.94,60
337,"Hettinger, Jadyn G",10/2/1971,9961,652.23,Male,234.75,86
338,"Robel, Linnea Z",5/26/1972,4637,593.80,Female,204.27,51
339,"Glover, Walker S",8/19/1965,7953,224.50,Male,147.60,0
340,"Hamill, Sage J",11/6/1971,7447,41.63,Male,517.24,72
341,"Cartwright, Shaun V",3/31/1964,1763,131.53,Female,299.27,39
342,"Reinger, Tiffany N",9/1/1982,3974,209.82,Male,473.03,29
343,"Yundt, Mireille E",5/27/1954,4271,785.45,Female,950.51,94
344,"Collins, Celine T",4/16/1954,4454,75.17,Male,338.80,64
345,"Mante, Bridie E",3/18/1972,6115,353.74,Female,701.10,44
346,"Pouros, Thora S",4/17/1996,2801,153.65,Male,815.26,5
347,"Abernathy, Bridgette C",12/12/1961,2798,495.44,Female,174.28,85
348,"Christiansen, Yvette C",2/24/1962,8737,778.86,Female,760.61,25
349,"Wiza, Ludwig R",7/25/1964,4717,661.11,Male,408.67,8
350,"Vandervort, Bud R",11/3/1971,3017,657.57,Female,495.38,33
351,"Reinger, Consuelo B",1/29/1993,0294,699.04,Female,102.24,42
352,"Willms, Cortez Y",2/8/1988,7381,844.47,Female,737.30,31
353,"Lindgren, Boris J",10/29/1966,4044,548.44,Female,845.49,92
354,"Nienow, Barton F",1/28/1998,7202,988.28,Male,509.51,60
355,"Raynor, Caroline E",4/5/1984,6877,309.32,Male,982.72,20
356,"Marquardt, Llewellyn F",7/13/1969,5061,337.87,Male,185.18,84
357,"Osinski, Diana J",3/26/1957,1126,519.91,Female,287.56,2
358,"Connelly, Maurice S",12/6/1967,6480,826.48,Female,596.22,95
359,"Sporer, Hardy J",3/20/1961,1511,186.99,Male,896.65,72
360,"Hessel, Mona S",7/5/1959,2613,674.25,Female,531.57,3
361,"Krajcik, Helen G",9/14/1983,1062,375.42,Male,626.59,64
362,"Stehr, Patrick T",5/13/1982,0496,936.78,Female,140.13,10
363,"Hettinger, Rahul H",1/29/1975,7805,572.72,Female,848.81,65
364,"Bogisich, Tess F",8/25/1966,2714,668.11,Male,927.74,51
365,"Boyer, Titus E",6/19/1981,6141,911.47,Female,211.75,80
366,"Schinner, Halie C",7/29/1975,6678,774.73,Female,306.13,21
367,"Funk, Iva E",3/18/1981,6318,96.79,Female,180.52,15
368,"Hartmann, Nolan F",7/1/1978,5976,301.30,Male,952.90,97
369,"Considine, Devonte P",2/3/1988,6351,262.02,Female,674.69,68
370,"Boyer, Kellen V",12/5/1964,4062,984.81,Female,285.36,57
371,"Greenfelder, Devin W",1/20/1977,6023,877.36,Male,433.47,31
372,"Fahey, Talon B",10/3/1950,1725,105.27,Male,618.67,93
